Inicio;Fin;IRI
580600;580620;3,1
580620;580640;6,3
580640;580660;3,4
580660;580680;3,6
580680;580700;2,7
580700;580720;2,7
580720;580740;3,9
580740;580760;6,1
580760;580780;7,0
580780;580800;6,2
580800;580820;6,5
580820;580840;5,0
580840;580860;3,0
580860;580880;3,0
580880;580900;3,5
580900;580920;4,3
580920;580940;4,2
580940;580960;2,9
580960;580980;3,2
580980;581000;2,9
581000;581020;2,2
581020;581040;2,4
581040;581060;3,5
581060;581080;3,5
581080;581100;3,1
581100;581120;2,3
581120;581140;2,2
581140;581160;3,0
581160;581180;2,6
581180;581200;3,2
581200;581220;3,0
581220;581240;3,7
581240;581260;3,6
581260;581280;3,3
581280;581300;3,5
581300;581320;3,1
581320;581340;3,7
581340;581360;3,4
581360;581380;4,4
581380;581400;2,5
581400;581420;4,7
581420;581440;3,3
581440;581460;2,8
581460;581480;3,4
581480;581500;3,0
581500;581520;2,9
581520;581540;2,2
581540;581560;2,5
581560;581580;2,4
581580;581600;2,0
581600;581620;1,9
581620;581640;2,7
581640;581660;2,4
581660;581680;2,6
581680;581700;3,4
581700;581720;2,8
581720;581740;3,7
581740;581760;3,1
581760;581780;3,7
581780;581800;3,5
581800;581820;4,1
581820;581840;2,6
581840;581860;2,4
581860;581880;2,6
581880;581900;2,9
581900;581920;3,3
581920;581940;3,4
581940;581960;2,7
581960;581980;2,3
581980;582000;2,2
582000;582020;2,6
582020;582040;2,3
582040;582060;1,6
582060;582080;2,2
582080;582100;1,6
582100;582120;1,9
582120;582140;2,7
582140;582160;2,8
582160;582180;2,0
582180;582200;1,9
582200;582220;2,1
582220;582240;2,5
582240;582260;2,8
582260;582280;2,7
582280;582300;3,9
582300;582320;3,4
582320;582340;3,3
582340;582360;3,6
582360;582380;2,9
582380;582400;1,8
582400;582420;1,7
582420;582440;1,6
582440;582460;1,8
582460;582480;2,1
582480;582500;2,2
582500;582520;1,6
582520;582540;2,3
582540;582560;2,8
582560;582580;2,7
582580;582600;2,9
582600;582620;3,0
582620;582640;3,3
582640;582660;2,2
582660;582680;3,3
582680;582700;2,6
582700;582720;2,5
582720;582740;2,7
582740;582760;2,6
582760;582780;2,4
582780;582800;2,4
582800;582820;2,8
582820;582840;2,5
582840;582860;3,4
582860;582880;3,4
582880;582900;3,5
582900;582920;2,7
582920;582940;2,8
582940;582960;3,6
582960;582980;3,4
582980;583000;3,0
583000;583020;3,2
583020;583040;3,7
583040;583060;3,3
583060;583080;3,2
583080;583100;2,8
583100;583120;3,5
583120;583140;2,8
583140;583160;2,4
583160;583180;2,3
583180;583200;2,6
583200;583220;2,7
583220;583240;3,5
583240;583260;2,9
583260;583280;3,4
583280;583300;3,5
583300;583320;3,4
583320;583340;3,3
583340;583360;3,5
583360;583380;3,3
583380;583400;3,2
583400;583420;3,2
583420;583440;3,2
583440;583460;2,4
583460;583480;5,3
583480;583500;6,1
583500;583520;8,2
583520;583540;6,8
583540;583560;4,7
583560;583580;6,1
583580;583600;8,3
583600;583620;5,5
583620;583640;4,2
583640;583660;2,9
583660;583680;3,1
583680;583700;4,1
583700;583720;3,9
583720;583740;4,3
583740;583760;3,1
583760;583780;3,1
583780;583800;3,3
583800;583820;3,0
583820;583840;4,0
583840;583860;2,4
583860;583880;1,9
583880;583900;2,2
583900;583920;2,0
583920;583940;2,7
583940;583960;2,1
583960;583980;3,0
583980;584000;3,0
584000;584020;3,4
584020;584040;2,5
584040;584060;2,4
584060;584080;2,2
584080;584100;1,9
584100;584120;2,0
584120;584140;2,7
584140;584160;3,0
584160;584180;3,7
584180;584200;3,4
584200;584220;3,8
584220;584240;3,1
584240;584260;3,3
584260;584280;4,8
584280;584300;6,0
584300;584320;7,7
584320;584340;6,0
584340;584360;9,7
584360;584380;6,8
584380;584400;3,7
584400;584420;2,0
584420;584440;2,5
584440;584460;2,3
584460;584480;2,6
584480;584500;2,7
584500;584520;2,4
584520;584540;2,2
584540;584560;3,0
584560;584580;2,6
584580;584600;2,2
584600;584620;2,9
584620;584640;2,2
584640;584660;1,7
584660;584680;2,0
584680;584700;2,4
584700;584720;2,4
584720;584740;2,1
584740;584760;2,7
584760;584780;3,1
584780;584800;2,2
584800;584820;2,9
584820;584840;2,6
584840;584860;2,6
584860;584880;2,3
584880;584900;2,2
584900;584920;2,5
584920;584940;3,4
584940;584960;4,4
584960;584980;3,3
584980;585000;3,0
585000;585020;3,4
585020;585040;2,7
585040;585060;2,3
585060;585080;2,5
585080;585100;3,2
585100;585120;3,1
585120;585140;3,9
585140;585160;3,4
585160;585180;1,9
585180;585200;1,9
585200;585220;1,6
585220;585240;1,7
585240;585260;1,8
585260;585280;1,8
585280;585300;2,4
585300;585320;2,3
585320;585340;3,2
585340;585360;2,3
585360;585380;2,3
585380;585400;1,8
585400;585420;2,7
585420;585440;1,6
585440;585460;2,1
585460;585480;2,3
585480;585500;3,0
585500;585520;2,6
585520;585540;2,2
585540;585560;1,8
585560;585580;1,7
585580;585600;2,0
585600;585620;1,3
585620;585640;1,7
585640;585660;3,2
585660;585680;3,0
585680;585700;3,6
585700;585720;2,7
585720;585740;2,3
585740;585760;1,6
585760;585780;1,8
585780;585800;1,9
585800;585820;2,2
585820;585840;2,2
585840;585860;1,8
585860;585880;2,1
585880;585900;2,4
585900;585920;2,7
